                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5205,                 4.0755,                 1.8119,                0.60522,                0.87035,                0.88782,                0.61776,                 1.3868,                 1.3276,                 1.2518,                      0,                      0,                      0
                      2,                0.80697,                 3.8326,                 1.2388,                0.55723,                0.83333,                0.87354,                0.61083,                  1.399,                  1.358,                 1.2597,              7.973e-07,              7.973e-07,              7.973e-07
                      3,                0.95637,                 2.4961,                 1.2969,                0.54012,                0.83333,                0.87249,                 0.6208,                 1.4124,                 1.3739,                 1.2662,              8.092e-07,              8.092e-07,              8.092e-07
